product,usernames_count,rating_medio,usernames_count_log,rating_medio_log,coreness
- Kingston 240GB 2.5-inch 6GB/s HyperX 3K MLC SATA Solid State Drive,139,3.5135135135135136,4.934473933130692,1.256616537811358,0.1380890052356021
1 AW1 Waterproof Mirrorless Camera with 11-27.5mm Lens,107,2.8461538461538463,4.672828834461906,1.0459685551826878,0.1902268760907504
1.2 Cu. Ft. 1200 Watt SN66KB Microwave with Inverter and Genius Sensor,34,4.037974683544304,3.5263605246161616,1.395743250317823,0.2205497382198953
"100S-14IBR 14"" Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory",461,4.180035650623886,6.133398042996649,1.4303197753576833,0.0741710296684118
1155W 7.2-Ch. with Dolby Atmos 4K Ultra HD HDR Compatible A/V Home Theater Receiver,251,3.987804878048781,5.525452939131784,1.3832409236330003,0.1605584642233856
"2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce MX130 - 512GB SSD",12,3.625,2.4849066497880004,1.2878542883066382,0.9085365853658536
"2019 Google Pixel 3a XL 64GB LTE Cell Phone (Unlocked) Just Black - 6"" Full HD+ (2160 x 1080) OLED 12.2MP camera Qualcomm Snapdragon 670 Android 9.0 Pie OS (Free unlimited Google Picture storage)",109,4.138888888888889,4.691347882229144,1.4204273674893493,0.2340750436300174
"21.7 cu. ft. French Door Refrigerator in Stainless Steel, Counter Depth",303,3.9558823529411766,5.713732805509369,1.3752036744257323,0.1799738219895288
24 A9-9425 8GB 1TB W10,11,4.0625,2.3978952727983707,1.401798547655856,0.1830279232111692
"250 Sq. Ft. 6,000 BTU Compact Window Air Conditioner",50,3.6805555555555554,3.912023005428146,1.303063706970167,0.2057155322862129
27IN LCD 2560X1440 1000:1 PD2710QC LAN USB HDMI DP M-DP,31,4.166666666666667,3.4339872044851463,1.4271163556401458,0.1712478184991274
3.1-Channel Soundbar with Wireless Subwoofer and DTS Virtual:X/Dolby Digital,332,3.6885245901639343,5.805134968916488,1.3052265380311088,0.96602787456446
3.2 W Speaker System - Wireless Speaker(s) - Portable - Pack of 1,16,4.65,2.772588722239781,1.536867219599265,0.945121951219512
3.3' USB Type A-to-USB Type C Device Cable,158,4.104347826086957,5.062595033026967,1.4120468572223053,0.1788830715532286
"30"" Trim Kit for MS19M8000AS Microwave",34,3.2439024390243905,3.5263605246161616,1.176777061517446,0.2414921465968586
"3YQ22AN#140 HP 564 Black, Cyan, Magenta & Yellow Ink Cartridges Combo, 4 Cartridges",10,3.79,2.302585092994046,1.332366019094335,0.936411149825784
4.1-Channel Curved Soundbar with Wireless Subwoofer,78,4.355263157894737,4.356708826689592,1.4713850350907318,0.194153577661431
4.5 Cu. Ft. High-Efficiency Stackable Smart Front Load Washer with Steam and 6Motion Technology,2,4.706666666666667,0.6931471805599453,1.5489799433969864,0.7787456445993032
5.0 Cu. Ft. High Efficiency Top Load Washer with Super Speed,642,4.318401937046005,6.464588303689961,1.4628854118379135,0.9198606271777005
5.1-Channel Soundbar with Wireless Subwoofer,36,3.6666666666666665,3.58351893845611,1.2992829841302609,0.137870855148342
"50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",14,2.5,2.6390573296152584,0.9162907318741552,0.1328534031413612
500GB Internal SATA Hard Drive for Laptops with Tunnel Magneto-resistive Recording (TMR) Head Technology,12,4.9,2.4849066497880004,1.589235205116581,0.1701570680628272
510S-08IKL Desktop - Intel Core i3 - 4GB Memory - 1TB Hard Drive,5,4.222222222222222,1.6094379124341005,1.4403615823901663,0.912020905923345
"550 Sq. Ft. 11,500 BTU In Wall Air Conditioner",52,3.8217821782178216,3.951243718581428,1.340716852623571,0.8806620209059234
550 Sq. Ft. Smart Window Air Conditioner,77,4.225609756097561,4.343805421853684,1.4411635713657047,0.9825783972125436
55” Class BRAVIA XR A90J Series OLED 4K UHD Smart Google TV,92,4.654545454545454,4.5217885770490405,1.5378442592470916,0.9233449477351916
55” Class QN90B Neo QLED 4K Smart Tizen TV,32,3.5737704918032787,3.4657359027997265,1.2736211986157775,0.162521815008726
"65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",81,3.1666666666666665,4.394449154672439,1.1526795099383853,0.1496509598603839
"7"" - Android Auto/Apple® CarPlay™ - Built-in Bluetooth - In-Dash Digital Media Receiver",48,3.963855421686747,3.871201010907891,1.377217142968774,0.1570680628272251
7.2-Ch. with Dolby Atmos 4K Ultra HD A/V Home Theater Receiver,267,4.25748502994012,5.58724865840025,1.4486786173864858,0.9634146341463414
7.5 Cu. Ft. Stackable Smart Electric Dryer with Steam Sanitize+ and Sensor Dry,332,4.186147186147186,5.805134968916488,1.4317807849315007,0.897212543554007
70” Class 7 Series LED 4K UHD Smart Tizen TV,571,4.275590551181103,6.3473892096560105,1.4529222334753442,0.1943717277486911
"8,000 BTU Smart Window Air Conditioner",6,4.298941798941799,1.791759469228055,1.4583688991442505,0.2225130890052356
8x External Double-Layer DVD±RW/CD-RW SuperMulti Blade Drive,36,4.119266055045872,3.58351893845611,1.4156750055131109,0.1156195462478185
980 PRO 2TB Internal Gaming SSD PCIe Gen 4 x4 NVMe,543,4.7607361963190185,6.297109319933935,1.5604023193764565,0.0866055846422338
"AC Adapter Charger For Samsung Galaxy Book 12, , SM-W720NTKBXAR SM-W720NZKBXAR",226,4.27906976744186,5.420534999272286,1.453735641915423,0.0
AC Adapter Charger Power Supply For Asus VX279H MX239H VX239H MX279H MX279H,116,4.265625,4.7535901911063645,1.4505887118252878,0.1415794066317626
AC2200 Smart Whole Home WiFi,391,3.963855421686747,5.968707559985366,1.377217142968774,0.8841463414634146
AF-S DX NIKKOR 18-300mm f/3.5-5.6G ED VR Standard Zoom Lens,10,4.7,2.302585092994046,1.547562508716013,0.1450698080279232
"AOC Monitor 28"" 4K UHD 3840x2160 Res Free-sync 1ms 300 cd/m2 Brightness VGA DVI-D HDMI (MHL) DisplayPort U2879VF",39,4.25,3.6635616461296463,1.4469189829363254,0.1269633507853403
ARLO GO MOBILE HD SECURITY CAM,94,3.127659574468085,4.543294782270004,1.1402849850686776,0.8083623693379791
AS-19 Speedlight Stand,78,4.916666666666667,4.356708826689592,1.5926307941177191,0.8797909407665505
"ASPIRE E1-532-2635 Laptop Screen 15.6 SLIM LED BOTTOM RIGHT WXGA HD, Ship from USA，Brand Acer",47,4.076923076923077,3.8501476017100575,1.405342556090585,0.2268760907504363
ASUS 2020 Asus VivoBook S433FA-DS51-WH 14 FHD Laptop Intel i5-10210u 8GB 512GB Win10,20,4.15686274509804,2.995732273553991,1.4247606419476868,0.1708115183246073
"ASUS 24"" (Actual size 23.6"") Full HD 1920 x 1080 VGA DVI-D HDMI Built-in Speakers LED Backlit LCD Monitor",221,4.369230769230769,5.3981627015177525,1.4745869682655688,0.1952443280977312
"ASUS 24"" Widescreen LED Backlit LCD Monitor",294,4.425531914893617,5.683579767338681,1.4873904779912597,0.1350349040139616
"ASUS 27"" 16:9 Curved LCD Gaming Monitor",66,4.083333333333333,4.189654742026425,1.4069136483226263,0.9764808362369338
"ASUS 28"" 16:9 4K IPS TUF Gaming Monitor",51,4.625,3.9318256327243257,1.5314763709643886,0.951219512195122
ASUS AC1900 Dual-Band USB 3.1 Gen 1 Wi-Fi Adapter,139,3.85483870967742,4.934473933130692,1.3493291668864191,0.2050610820244328
"ASUS DOCSIS 3.0 High Speed 16 x 4 Cable Modem, 686 Mbps Download Speed, Xfinity, Spectrum, Cox certified",38,3.954545454545455,3.6375861597263857,1.374865665296268,0.2033158813263525
"ASUS Designo 25"" 1440P Eye Care Monitor - QHD (2560 x 1440), 100% sRGB, IPS, DisplayPort, HDMI",325,4.428571428571429,5.783825182329737,1.488077055429833,0.7682926829268293
"ASUS Laptop, ""14 HD Display, AMD A6-9225 Processor, 4GB DDR4 RAM, 500GB HDD, ASUS X441BA-CBA6A",160,3.090909090909091,5.075173815233827,1.128465251817791,0.2288394415357766
"ASUS ProArt StudioBook 15 Mobile Workstation Laptop, 15.6"" UHD NanoEdge Bezel, Intel Core i7-9750H, 32 GB DDR4, 512GB+512GB RAID-0 SSD, NVIDIA GeForce RTX 2060, Windows 10 Pro, , Star Grey",27,4.0,3.295836866004329,1.3862943611198906,0.0996945898778359
"ASUS ROG Zephyrus M GU502GV-BI7N10 - Core i7 9750H / 2.6 GHz - Windows 10 - GF RTX 2060 - 16 GB RAM - 1 TB SSD - 15.6"" 1920 x 1080 (Full HD) @ 144 Hz - Wi-Fi 5 - brushed black",253,4.253521126760563,5.53338948872752,1.4477471403335542,0.1025305410122164
"ASUS RT-AX92U (2 Pack) AX6100 Tri-Band Wi-Fi 6 Gaming Mesh Router with 802.11Ax, Lifetime AiProtection Security by Trend Micro, AiMesh Compatible, Adaptive QoS & Parental Control",274,4.036697247706422,5.613128106388071,1.395426844683163,0.1620855148342059
