217	219
217	236
217	405
217	426
219	236
219	548
236	405
236	548
334	426
690	704
509	527
416	420
568	573
30	874
25	917
570	643
770	808
42	688
42	857
688	857
857	964
104	350
465	466
189	760
300	443
354	361
896	898
413	414
300	441
441	443
523	524
446	460
373	807
373	856
807	856
99	348
697	698
993	994
664	968
520	521
354	374
627	628
215	216
431	432
386	395
323	705
893	972
234	239
488	498
53	980
986	1000
854	855
451	770
112	142
112	761
142	761
122	961
804	810
156	857
194	857
295	729
295	857
993	995
994	995
514	515
258	517
85	243
262	395
262	857
395	857
672	857
857	867
542	543
420	427
45	46
340	342
594	595
427	626
781	782
915	916
300	732
426	732
452	632
417	437
430	443
319	452
300	335
333	422
372	834
724	725
335	420
325	421
155	156
207	209
80	676
648	660
648	671
648	969
660	671
660	969
671	969
385	386
385	395
13	45
13	46
13	394
13	885
13	897
45	495
45	885
45	897
46	495
46	885
46	897
394	483
394	883
394	885
394	897
495	783
885	897
487	497
303	926
92	621
92	724
92	725
221	724
221	725
221	915
221	916
724	915
724	916
725	915
725	916
75	409
21	512
16	361
16	871
317	871
361	445
361	871
445	871
587	600
717	718
717	916
718	916
895	896
895	898
384	391
307	547
662	665
662	666
665	666
132	711
195	227
195	711
227	241
227	347
227	711
227	806
227	912
241	347
241	806
347	806
806	912
188	386
884	888
157	158
157	159
158	159
394	485
394	619
394	625
625	675
35	622
223	307
223	489
223	927
307	489
307	927
194	195
394	868
108	124
108	149
108	1017
124	149
124	1017
149	1017
108	1018
124	1018
1017	1018
117	260
547	739
573	851
119	648
119	660
119	671
119	952
648	672
660	672
671	672
952	969
480	820
68	863
87	186
87	196
87	644
87	816
87	863
186	190
186	335
186	398
186	863
186	946
190	196
190	398
190	644
196	644
196	816
196	863
398	816
398	863
398	946
398	1025
644	816
644	863
644	946
644	1025
816	863
816	946
816	1025
863	946
863	1025
360	374
257	258
257	857
258	857
67	140
67	227
67	351
140	149
140	227
140	243
140	394
140	851
149	927
181	394
227	394
227	723
227	927
243	394
243	867
243	927
394	596
394	723
394	851
394	867
394	927
723	927
851	927
180	181
922	927
112	871
761	871
254	260
254	927
260	927
349	842
96	126
114	188
528	529
683	1008
212	239
234	235
235	239
178	906
26	51
26	119
51	686
119	524
119	830
189	581
524	889
686	830
365	614
365	615
614	615
223	347
223	857
268	375
268	857
347	857
375	857
528	857
529	857
847	910
185	186
506	507
117	844
93	500
93	747
93	952
190	307
190	760
190	798
190	799
307	644
307	747
307	806
307	820
307	952
500	644
500	747
500	760
500	798
500	799
500	806
644	747
644	760
644	799
644	820
644	952
760	798
760	799
798	799
806	820
820	952
762	840
925	926
275	277
118	648
118	660
118	671
189	197
353	648
648	663
660	663
663	671
20	443
20	847
443	847
816	894
863	894
197	931
104	161
115	146
199	394
160	254
246	254
254	812
106	290
