product,usernames_count,coreness,rating_medio,usernames_count_log,rating_medio_log
(New) JBL OnBeat Micro Speaker Dock with Lightning Connector (Black),2,0.24389179755671903,4.190476190476191,0.6931471805599453,1.4328143767547836
- Kingston 240GB 2.5-inch 6GB/s HyperX 3K MLC SATA Solid State Drive,165,0.14725130890052357,3.5135135135135136,5.10594547390058,1.256616537811358
- Nintendo Wii U,6,0.21400523560209425,4.1923076923076925,1.791759469228055,1.4332513442076618
1 AW1 Waterproof Mirrorless Camera with 11-27.5mm Lens,128,0.1568499127399651,2.8461538461538463,4.852030263919617,1.0459685551826878
1 V2 Mirrorless Camera with 10-30mm VR Lens,2,0.13590750436300175,4.428571428571429,0.6931471805599453,1.488077055429833
1.2 Cu. Ft. 1200 Watt SN66KB Microwave with Inverter and Genius Sensor,47,0.2469458987783595,4.037974683544304,3.8501476017100584,1.395743250317823
"100S-14IBR 14"" Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory",516,0.09445898778359511,4.180035650623886,6.246106765481563,1.4303197753576833
1155W 7.2-Ch. with Dolby Atmos 4K Ultra HD HDR Compatible A/V Home Theater Receiver,267,0.17713787085514834,3.9878048780487805,5.58724865840025,1.3832409236330003
15.6 144HZ FHD I7-9750H RTX 2060 GDDR6 6GB 8GBX2 DDR4 2666MHZ RAM M.2 PCIE 512GB,16,0.2423647469458988,3.588235294117647,2.772588722239781,1.2776605201170952
"17.3"" Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive",7,0.7865853658536586,1.6923076923076923,1.9459101490553132,0.5260930958967791
"19.5"" Portable Touch-Screen All-In-One Computer - Intel Core i5 - 4GB Memory - 500GB Hard Drive",3,0.9625435540069687,3.9,1.0986122886681098,1.3609765531356006
"2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce MX130 - 512GB SSD",23,0.9764808362369338,3.625,3.1354942159291497,1.2878542883066382
"2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive",3,0.8466898954703833,4.235294117647059,1.0986122886681098,1.4434527749598391
"2019 Google Pixel 3a XL 64GB LTE Cell Phone (Unlocked) Just Black - 6"" Full HD+ (2160 x 1080) OLED 12.2MP camera Qualcomm Snapdragon 670 Android 9.0 Pie OS (Free unlimited Google Picture storage)",129,0.22142233856893542,4.138888888888889,4.859812404361672,1.4204273674893493
"21.7 cu. ft. French Door Refrigerator in Stainless Steel, Counter Depth",331,0.2399650959860384,3.9558823529411766,5.802118375377063,1.3752036744257325
24 A9-9425 8GB 1TB W10,17,0.19982547993019198,4.0625,2.833213344056216,1.4017985476558559
"250 Sq. Ft. 6,000 BTU Compact Window Air Conditioner",73,0.20418848167539266,3.6805555555555554,4.290459441148391,1.303063706970167
"27"" Trim Kit for Gallery Series Microwaves",2,0.9268292682926829,2.586206896551724,0.6931471805599453,0.9501922835498364
27IN IPS DP HDMI 2560X1440 VESA 165HZ 4MS 50M:1 SPEAKERS,10,0.994773519163763,3.892857142857143,2.302585092994046,1.3591433720539399
27IN LCD 2560X1440 1000:1 PD2710QC LAN USB HDMI DP M-DP,31,0.21226003490401396,4.166666666666667,3.4339872044851463,1.4271163556401458
"29"" IPS LED HD 21:9 Ultrawide Monitor",2,0.1699389179755672,4.105263157894737,0.6931471805599453,1.4122698475231514
"29.7"" Trim Kit for LG Microwaves",22,0.23931064572425828,3.0246913580246915,3.091042453358316,1.1068090558722883
2TB SKYHAWK SATA 5900 RPM 64MB 3.5IN,39,0.206151832460733,4.222222222222222,3.6635616461296463,1.4403615823901663
3.1-Channel Soundbar with Wireless Subwoofer and DTS Virtual:X/Dolby Digital,339,0.9895470383275261,3.6885245901639343,5.82600010738045,1.3052265380311088
3.2 W Speaker System - Wireless Speaker(s) - Portable - Pack of 1,30,0.9817073170731707,4.65,3.4011973816621555,1.536867219599265
3.3' USB Type A-to-USB Type C Device Cable,209,0.17888307155322863,4.104347826086957,5.342334251964811,1.4120468572223053
"30"" Trim Kit for MS19M8000AS Microwave",36,0.2366928446771379,3.2439024390243905,3.58351893845611,1.176777061517446
"32"" Class - (31.6"" Diag.) - LED - 720p - Smart - HDTV",1,0.9991289198606272,4.666666666666667,0.0,1.540445040947149
"3YQ22AN#140 HP 564 Black, Cyan, Magenta & Yellow Ink Cartridges Combo, 4 Cartridges",26,0.9747386759581882,3.79,3.258096538021482,1.332366019094335
4.1-Channel Curved Soundbar with Wireless Subwoofer,83,0.22207678883071555,4.355263157894737,4.418840607796598,1.4713850350907318
4.5 Cu. Ft. High-Efficiency Stackable Smart Front Load Washer with Steam and 6Motion Technology,2,0.7848432055749129,4.706666666666667,0.6931471805599453,1.5489799433969864
5.0 Cu. Ft. High Efficiency Top Load Washer with Super Speed,700,0.9677700348432056,4.318401937046005,6.551080335043404,1.4628854118379135
5.1-Channel Soundbar with Wireless Subwoofer,55,0.11518324607329843,3.6666666666666665,4.007333185232471,1.2992829841302609
"50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",21,0.11038394415357766,2.5,3.044522437723423,0.9162907318741551
500GB Internal SATA Hard Drive for Laptops with Tunnel Magneto-resistive Recording (TMR) Head Technology,15,0.2013525305410122,4.9,2.70805020110221,1.589235205116581
500W Mini Audio System,1,0.9024390243902439,5.0,0.0,1.6094379124341003
510S-08IKL Desktop - Intel Core i3 - 4GB Memory - 1TB Hard Drive,12,0.8702090592334495,4.222222222222222,2.4849066497880004,1.4403615823901663
